PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLE10193,3100,1,58,OLE-SELECT,Show Serials Receiving Record From Holding,Allows users to view Serial Receiving record from Holdings record.,Y
OLE10195,OLE90071,1,62,OLE-PTRN,Create fastadd,User can create an item record,Y
OLE10196,OLE90072,1,42,OLE-PTRN,Create/Update Circulation desk,User can create and maintain circulation desk,Y
OLE10197,OLE90073,1,58,OLE-PTRN,Display Existing loan,User can display existing loan,Y
OLE10198,OLE90074,1,62,OLE-PTRN,Update due date,User can update due date.,Y
OLE10199,OLE90075,1,58,OLE-PTRN,Display request,User can display request,Y
OLE10200,OLE90076,1,58,OLE-DLVR,Update request queue,User can update request queue,Y
OLE10201,OLE90077,1,62,OLE-PTRN,Can Override,User can override.,Y
OLE10202,OLE90078,1,62,OLE-PTRN,Post payment,The posted amount will be detected from the bill amount.,Y
OLE10203,OLE90079,1,62,OLE-PTRN,Post forgive,The posted amount will be detected from the bill amount.,Y
OLE10205,OLE90081,1,59,OLE-PTRN,Create/Update proxy patron,User can create/update proxy patron,Y
OLE10206,OLE90082,1,59,OLE-PTRN,Can backdate check-in time/date,User can backdate check-in time/date.,Y
OLE10207,OLE90083,1,59,OLE-PTRN,EDITOR_ITEM_INFORMATION,User can update item record,Y
OLE10208,OLE90084,1,59,OLE-PTRN,Update patron address only,User can update patron address,Y
OLE10209,OLE90085,1,58,OLE-PTRN,Display Current loan,User can display current loaned item,Y
OLE10210,OLE90086,1,1,OLE-PTRN,Display Bill,User can display bill,Y
OLE10211,OLE90087,1,1,OLE-PTRN,Create/update Bill,User can create/update bill,Y
OLE10212,OLE90088,1,1,OLE-PTRN,Can update item status,Can update item status,Y
OLE10214,OLE90090,1,42,OLE-PTRN,Edit Request Document,Edit Request Document,Y
OLE404,OLE404,1,1,OLE-SELECT,SERIAL_RECEIVING_SEARCH,Allows user to perform serial receiving search,Y
OLE10223,OLE70004,1,58,OLE-CAT,DESC_WORKBENCH_EXPORT_XML,Exports requested record to requestXml,Y
OLE10224,OLE70005,1,1,OLE-CAT,DESC_WORKBENCH_SEARCH,User can search the bib/holding/item record,Y
OLE10225,OLE70006,1,1,OLE-CAT,MARC_EDITOR_ADD_BIB,User can create a bib record,Y
OLE10226,OLE70007,1,62,OLE-CAT,MARC_EDITOR_EDIT_BIB,User can edit a bib record,Y
